"x","y","canopy_height","mean_annual_precipitation","percentage_tree_cover","globcover_numeric","globcover_label","intact_forest","forest_zone","total_burnt_area","mean_burnt_area","height_cat","firesize"
-136.25,58.25,15.8,1995.22222222222,39.9380569458008,180,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water","Non-Intact Forest",TRUE,0,0,"small","small_no_fire"
-135.25,57.75,22.7,1677.55555555556,63.5388870239258,90,"Open (15-40%) needleleaved deciduous or evergreen forest (>5m)","Non-Intact Forest",TRUE,0.232233084738255,0.0165880774813039,"small","small_no_fire"
-134.75,57.75,38,1620.66666666667,40.8152770996094,180,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water","Non-Intact Forest",TRUE,0.053592249751091,0.00382801783936364,"tall","small_no_fire"
-134.25,57.75,16.4,1884.22222222222,62.2138900756836,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Intact Forest",TRUE,0.242951534688473,0.0173536810491766,"small","small_no_fire"
-132.75,53.75,9.6,1967.88888888889,87.3899993896484,90,"Open (15-40%) needleleaved deciduous or evergreen forest (>5m)","Intact Forest",TRUE,0.267961248755455,0.0191400891968182,"small","small_no_fire"
-132.25,53.75,20.8,1575.44444444444,83.3441696166992,90,"Open (15-40%) needleleaved deciduous or evergreen forest (>5m)","Non-Intact Forest",TRUE,0.375145748257637,0.0267961248755455,"small","small_no_fire"
-130.25,55.25,27.9,1980.66666666667,46.9591674804688,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Intact Forest",TRUE,0,0,"medium","small_no_fire"
-129.75,54.75,14.35,1770.77777777778,38.7516670227051,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Intact Forest",TRUE,0,0,"small","small_no_fire"
-129.25,54.25,31,1804.88888888889,25.6763896942139,130,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Intact Forest",TRUE,0,0,"tall","small_no_fire"
-128.75,54.25,25.175,1718.11111111111,67.170280456543,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Non-Intact Forest",TRUE,0.723495379090309,0.0516782413635935,"medium","small_no_fire"
-128.25,53.75,35,1600.55555555556,27.4144439697266,120,"Mosaic grassland (50-70%) / forest or shrubland (20-50%)","Intact Forest",TRUE,0,0,"tall","small_no_fire"
-127.25,52.75,6.8,1727.33333333333,33.5311126708984,140,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)","Intact Forest",TRUE,0.214368999004364,0.0153120713574546,"small","small_no_fire"
-126.75,51.25,3.95,1617.55555555556,53.7255554199219,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Intact Forest",TRUE,0.107184499502182,0.00765603567872729,"small","small_no_fire"
-126.75,51.75,1.3,1545.33333333333,47.5036125183105,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Intact Forest",TRUE,0.375145748257637,0.0267961248755455,"small","small_no_fire"
